,作者,字数,小说名称,最新章节,类别,年份,月份,日
24,寇十五郎,152.44,猎击三国,新书上传,「历史·秦汉三国」,2015,10,22
25,青史尽成灰,152.4,悍明,完本感言,「历史·两宋元明」,2014,12,10
26,墨以铭城,152.38,网游之致命利刃,第六三零章：终焉之时,「游戏·虚拟网游」,2018,1,31
27,天舞野望,152.33,无赖帝师,第七百四十七章一切从头,「历史·秦汉三国」,2018,5,14
28,眼中只有黑色,152.31,网游重生之全职骑士,曾经遗忘的后记……时隔几年补上。,「游戏·虚拟网游」,2013,9,19
29,赫墨,152.3,无敌坦克,后记,「游戏·虚拟网游」,2014,10,23
30,尤加利,152.28,救赎游戏,第577章暴露（完）,「游戏·虚拟网游」,2017,7,18
31,王里予,152.25,阴阳后裔,完本感言,「灵异·灵异鬼怪」,2018,5,15
32,二踢脚,152.13,弹指歌,后记以及新书《快乐末班车》相关,「武侠·传统武侠」,2010,10,31
33,给您添蘑菇啦,152.12,钱途,新书已发《跨界闲品店》,「都市·都市生活」,2014,9,1
34,转圆,152.1,丹炉,全书完！,「仙侠·幻想修仙」,2017,10,31
35,神眼,152.1,神锋无影,完本感言,「体育·足球运动」,2015,1,4
36,漂鸟若叶,152.04,网游之最强书生,完本感言,「游戏·虚拟网游」,2017,8,10
37,流星醉寂寞,152.01,逍遥仙门,新书《他和僵尸有个约会》发布，求支持！,「仙侠·幻想修仙」,2018,2,12
38,AFK,151.98,魔法教授,第20章名为希望（终）,「奇幻·现代魔法」,2010,9,30
39,祥光,151.89,娱乐怪才,第七四一章大结局,「都市·都市生活」,2018,5,10
40,雨夜猫头鹰,151.87,虫皇主宰,第四百八十八章最终章后记,「玄幻·异世大陆」,2015,12,10
41,醉天先生,151.8,一些不该说的往事,第十章大结局,「灵异·寻墓探险」,2018,6,12
42,都市猎人,151.74,都市猎人,第六百七十六章新征程（大结局）,「都市·异术超能」,2018,3,12
43,西贝猫,151.73,异世之炼魔术士,写在完结之后,「奇幻·剑与魔法」,2009,2,28
44,我爱厨房,151.72,游戏开发指南,完本感言,「游戏·虚拟网游」,2018,4,30
45,永恒炽天使,151.69,变身之轮回境界,新书《天道创世主》上传！,「二次元·变身入替」,2015,11,23
46,多想无益,151.69,最强召唤爆三国,692章大结局（下）,「历史·秦汉三国」,2018,7,2
47,最后的游骑兵,151.64,斗兽,新书发出,「军事·抗战烽火」,2017,3,31
48,寒山冷月,151.62,深山寻宝记,第三十三章故事完结,「灵异·寻墓探险」,2018,6,12
49,季郁,151.61,冥界夜灵,第七百零六章终章,「奇幻·黑暗幻想」,2017,8,9
0,杏林春暖,151.58,都市奇人录,新书发布,「都市·都市生活」,2014,2,24
1,凰中鲤,151.47,巫界之无限火力,新书《氪金魔主》,「奇幻·史诗奇幻」,2017,12,1
2,孤灯,151.46,御宝斋,第五十三章三清在上（大结局，六十大庆献礼）,「仙侠·幻想修仙」,2009,10,30
3,午夜狂响曲,151.41,大宁国师,第五百七十七章结局,「历史·架空历史」,2018,4,28
4,碧心轩客,151.33,全能修真者,第479章逆转乾坤（大结局！）,「仙侠·幻想修仙」,2010,2,27
5,地瓜大叔,151.33,全能神偷,完本感言,「都市·异术超能」,2013,4,2
6,泣风尘,151.31,匪帅,完本作者语,「历史·五代十国」,2008,6,17
7,不急躁爱海豹,151.26,冒险者语录,第五百四十二章：冒险者语录,「奇幻·剑与魔法」,2018,4,2
8,菜鸟也是鸟,151.24,异界董事长,第五十八章,「玄幻·异世大陆」,2018,1,18
9,不吐泡泡鱼,151.21,虫族修士,第六百九十章：宇宙之巅（大结局）,「都市·异术超能」,2016,5,3
10,陈瑞,151.19,校园爱情录,尾声（完）,「都市·青春校园」,2010,3,4
11,柳旭风,151.13,神级小电工,最终章二终了,「都市·异术超能」,2016,7,26
12,张家三叔,151.07,随身带着个宇宙,第504章满溢的幸福（大结局）,「都市·异术超能」,2010,7,30
13,江湖有神气,151.06,玄幻窃命师,692，大结局·破天,「玄幻·高武世界」,2018,7,10
14,升天猪,151.01,冰封乾坤,后记,「玄幻·异世大陆」,2009,12,31
15,青春小沉迷,150.98,不知名的游戏,第646章（大结局）,「灵异·灵异鬼怪」,2018,6,12
16,可喜的草莓味.QD,150.96,全能之天才学生,新书《玩坏异世界》!!!,「都市·青春校园」,2017,3,13
17,李白不白,150.93,悟空看私聊,隆重推荐一本书,「玄幻·东方玄幻」,2018,2,28
18,我本拙计,150.91,仙武戒,第四百四十八章唯一真界（七千字大章大结局）,「玄幻·东方玄幻」,2017,11,7
19,挥剑斩花,150.9,龙珠战场,第606章终章,「科幻·时空穿梭」,2018,5,21
20,沉渊之龙,150.75,在三国杀怪升级当战神,完本感言,「历史·秦汉三国」,2018,3,5
21,成有道,150.68,从零开始的穿越生涯,完本感言,「二次元·衍生同人」,2018,3,14
22,勿忘无望,150.61,洪荒之证道不朽,完本感言及新书！,「仙侠·神话修真」,2013,1,31
23,清辉若,150.59,凶地密码,完本感言：那一点点感动,「灵异·寻墓探险」,2017,11,5
24,浙东匹夫,150.55,文娱救世主,第60章我就是天网（大结局）,「都市·娱乐明星」,2017,8,24
25,远古莱德,150.54,暴力护筐手,完本感言,「体育·篮球运动」,2017,6,12
26,燃烧的小米,150.48,图腾燃烧,第五百二十三章终章,「奇幻·剑与魔法」,2015,12,14
27,-荒原-,150.47,重生之重甲狂贼,第六百四十二章完本感言,「游戏·虚拟网游」,2014,9,9
28,丛林狼,150.47,最强战神,第500章：恩仇散（大结局）,「军事·战争幻想」,2014,1,6
29,迦太基的失落,150.41,神书纪元,推荐新书《全球进化时代》,「仙侠·修真文明」,2017,5,2
30,别人家的小猫咪,150.37,重生之大文豪,新书《文娱缔造者》,「都市·都市生活」,2014,6,23
31,仙雪红尘,150.34,枪临万界,新书出世,「仙侠·幻想修仙」,2018,2,12
32,冰临神下,150.15,大明妖孽,新书《谋断九州》发布,「历史·两宋元明」,2018,2,23
33,咬文嚼纸,150.15,第四生物帝国,新书《位面黑科技》发布，求包养！,「科幻·超级科技」,2017,9,13
34,窥天的老鼠,150.09,重生之我是化学家,后记（必看）,「仙侠·幻想修仙」,2013,5,13
35,华晓鸥,150.09,控球先生,新书《带刀禁卫》,「体育·篮球运动」,2017,10,24
36,猩猩崛起,150.05,娱乐大痞子,第537章大结局,「都市·都市生活」,2018,7,26
37,西贝猫,149.98,终末之城,新书《次元法典》已放出，请大家继续多多支持,「游戏·游戏异界」,2018,3,1
38,食人玩具,149.95,吞天骨帝,新书《都市极品剑皇》,「玄幻·异世大陆」,2017,4,6
39,血祭之夜,149.93,三国大发明家,第五百七十四章大结局,「历史·秦汉三国」,2015,5,1
40,惟一的叶子,149.88,修真网络时代,完结了！,「仙侠·幻想修仙」,2016,12,27
41,法王瑞兹,149.87,我体内有只聚宝盆,第五百六十章定居峰顶,「玄幻·东方玄幻」,2018,6,28
42,石三,149.87,仙界走私大鳄,写在最后,「仙侠·幻想修仙」,2008,10,18
43,無艺,149.84,完美级评分,完本感言：,「游戏·虚拟网游」,2014,10,1
44,画梦,149.8,葬主,新书已开，求助攻！！,「仙侠·幻想修仙」,2016,4,15
45,虚鸣,149.8,旧日篇章,新书名字变更：奈格里之魂,「奇幻·黑暗幻想」,2018,2,9
46,横扫天涯,149.72,拳皇异界纵横,新书《天道图书馆》已发，求收藏、推荐！,「玄幻·异世大陆」,2010,2,25
47,咸鱼不惧突刺,149.72,舰娘寻回之旅,完本感言,「游戏·游戏异界」,2018,2,26
48,单博,149.68,贴身经理人,第四卷 亢龙有悔第一百九十五章鸟尽弓藏（大结局）,「都市·商战职场」,2009,6,30
49,圣炎冥火,149.61,超级剑修,完本感言！！,「仙侠·幻想修仙」,2010,3,9
0,律香川,149.5,三国老司机,0089大结局，三分天下,「历史·架空历史」,2017,5,26
1,暴打一顿,149.5,逆天真形,新书《噬灵武道》,「武侠·武侠幻想」,2018,6,8
2,何昊远,149.45,山渐青,第459章杯酒释兵权（大结局）,「历史·两宋元明」,2012,5,11
3,金笔海洋,149.44,玉皇大帝成长笔记,第六百一十四章：出发归墟,「仙侠·神话修真」,2018,6,26
4,赵三火,149.42,武极江湖,第四百七十七章（大结局）,「武侠·武侠幻想」,2018,5,2
5,吹晓风,149.4,异界萌灵战姬,第八十二章成神（大结局！）,「游戏·游戏异界」,2014,4,3
6,指尖清江,149.31,圣人无敌,第550章新的起点！（全书完）,「玄幻·异世大陆」,2018,7,4
7,虾写,149.26,商踪谍影,新书已开！,「都市·都市生活」,2016,2,17
8,火爆天帝,149.24,玉符空间,感言,「都市·异术超能」,2017,2,4
9,影山红,149.18,医匡九合,第560章大结局——华夏好运,「历史·两宋元明」,2016,4,27
10,王不过霸,149.14,异界大召唤系统,新书《附身吕布》,「游戏·游戏异界」,2016,10,8
11,知秋,149.08,历史的尘埃,尾声(全终),「玄幻·异世大陆」,2007,8,26
12,古老城堡,149.04,术士皇族,最后想说的一些话,「游戏·游戏异界」,2014,2,17
13,滚开,149.03,剑道真解,477章尾声,「都市·异术超能」,2013,9,4
14,陈证道,149.03,太极相师,新书已经发布,「仙侠·现代修真」,2017,11,7
15,疯子发飙,148.99,足球之杀手,第145章我们是冠军（大结局）,「体育·足球运动」,2010,4,1
16,醉寻芳,148.96,朕的霸图,第0635章建元鼎和（终章及后记）,「历史·五代十国」,2017,5,25
17,无辜的虫子,148.87,回明,第三百三十九章世界这么大，朕想去看看,「历史·两宋元明」,2018,7,26
18,禄阁家声,148.83,魔舞蓬莱,完本感言~~~【三年风雨路，十年江湖梦】（下）,「仙侠·幻想修仙」,2014,2,24
19,cuslaa.QD,148.82,大宋帝国征服史,第三十一章征服,「历史·两宋元明」,2010,7,30
20,年轻小老虎,148.79,鬼眼侦探,第396章回家（下）（大结局）,「灵异·寻墓探险」,2014,12,14
21,悟三生,148.73,网游三国之无双,第487章诸侯讨董开始,「游戏·虚拟网游」,2018,4,3
22,长腿大叔,148.71,狂暴领主,第六百九十六章终章（全书完）,「玄幻·异世大陆」,2017,12,11
23,资产暴增,148.7,异世之虫族无敌,第五百一十五章回归地球（大结局）！,「玄幻·异世大陆」,2010,10,29
24,徐公子胜治,148.7,神游,216回清风闻仙醉，明月唤梦回（全书完）,「仙侠·现代修真」,2007,9,16
25,跟上帝谈判,148.65,大咒天,第631章尾声接近（推到她）,「玄幻·东方玄幻」,2014,3,25
26,卷饼大葱,148.63,异界卡神系统,第四百八十一章大结局,「游戏·游戏异界」,2017,8,1
27,大梦泣,148.61,重生西游之大唐皇族,新书《神魂成仙》,「玄幻·东方玄幻」,2015,10,29
28,野狂人,148.56,在古代开网店,第629章大结局,「历史·架空历史」,2018,5,2
29,不祈十弦,148.55,水银之血,完结感言,「游戏·游戏异界」,2017,1,16
30,若水萝卜,148.54,最科学的符阵师,第七百二十五章尾声（五）,「玄幻·异世大陆」,2017,10,9
31,三叶猫草,148.5,浣熊的终极进化,第一百八十七章浣熊的故事（结局）,「二次元·原生幻想」,2018,5,31
32,鱼人二代,148.46,很纯很暧昧前传,735．幸福生活,「都市·青春校园」,2013,5,8
33,擎天凌云,148.38,史上第一科技,第七百二十六章功成名就 飞升成仙,「都市·异术超能」,2018,2,26
34,维斯特帕列,148.36,妖孽学霸,新书《探险从地底出发》已发，跪求各位书友鼎力相助！,「都市·都市生活」,2016,6,30
35,衣山尽,148.35,大学士,第四百八十六章泰昌（全本）,「历史·两宋元明」,2011,4,28
36,万世机甲,148.33,大镖王,第583章终章,「武侠·传统武侠」,2018,4,9
37,格鱼,148.31,天唐,拜求支持新书《高官》,「历史·两晋隋唐」,2012,10,5
38,黑色花灯,148.27,超神融合,第五百四十五章没那么简单,「都市·异术超能」,2017,9,28
39,赤军,148.26,龙战野,后记,「玄幻·东方玄幻」,2017,8,29
40,烈风之刃,148.24,本色警察,第388章大结局,「都市·都市生活」,2009,12,31
41,天冰石,148.22,通天之旅,结束语,「玄幻·异世大陆」,2012,11,20
42,御宅传说,148.17,噬魂天书,后面的故事（不算结局的结局）,「仙侠·幻想修仙」,2012,6,26
43,星无伤,148.13,天羽变,关于新书,「玄幻·异世大陆」,2013,10,8
44,君王李,148.13,超级位面系统,末章,「科幻·时空穿梭」,2017,8,23
45,小十方.QD,148.12,画说,结束感言,「玄幻·异世大陆」,2012,7,31
46,狱狮,148.11,魔鬼的杀人游戏,完结感言,「灵异·恐怖惊悚」,2018,3,1
47,飞飞飞龙,148.1,逆天大武神,第七百零二章,「仙侠·修真文明」,2017,7,27
48,笑南风,148.09,全职业武神,第四百八十四章新纪元（大结局）,「玄幻·东方玄幻」,2015,12,10
49,木子一步,148.02,带个系统入洪荒,另类新书相关,「仙侠·神话修真」,2017,8,15
0,我是钢筋工,148.01,开个飞机去明朝,第80章结束，还是开始？（全书完）,「历史·两宋元明」,2016,5,3
1,明日复明日,147.93,贴身高手,第五百七十章,「都市·都市生活」,2015,6,4
2,一掌擎天,147.88,崛起在大明,完本感言,「历史·架空历史」,2018,3,19
3,咱叫刘可乐,147.81,妖人金靴,第667章人生路漫漫（大结局，完结撒花）,「体育·足球运动」,2018,3,12
4,木公,147.79,梦回米兰,第3卷第539章归来,「体育·足球运动」,2015,7,22
5,小陆探花,147.74,逆流2002,完本感言,「现实·成功励志」,2018,7,3
6,木允锋,147.71,大清之祸害,第五四九章大结局,「历史·清史民国」,2017,3,23
7,机械化粗实才,147.7,诡才县令,完本感言,「历史·架空历史」,2018,5,7
8,中华田园猫,147.69,无限猫娘,第七百章：数天，数年，乃至百年之后,「科幻·进化变异」,2018,1,2
9,世南言,147.65,我有一棵世界树,第五百三十章本源大陆新的征程（终章）,「玄幻·东方玄幻」,2018,8,31
10,望那苍云破天,147.54,战甲核心,652章：最终章（5）大结局,「奇幻·剑与魔法」,2015,4,22
11,很龙很傲天,147.5,火影之恶魔法则,完本感言，关于新书,「二次元·衍生同人」,2017,12,11
12,风一声,147.45,真假元首的较量,完稿了,「军事·抗战烽火」,2018,7,2
13,灰色微尘,147.41,德鲁伊之王,完本总结,「游戏·游戏异界」,2016,7,4
14,雪灵之魂,147.33,傲世星云,第六百六十四章星云界（大结局）,「玄幻·东方玄幻」,2017,1,3
15,任怨,147.29,超越轮回,第二百七十六章超越轮回（大结局）,「科幻·星际文明」,2007,12,21
16,二十六点,147.28,武竞天择,第五百九十九章未来无限美好（全书完结）,「武侠·武侠幻想」,2018,4,19
17,宝月流光,147.2,全职BOSS,新书公告《我家客厅有个副本》,「游戏·虚拟网游」,2017,4,1
18,非风非云,147.2,网游之重生最强,第四百六十八章二队队长（全书完）,「游戏·虚拟网游」,2011,8,31
19,疯魔成活的部长,147.18,韩娱之策划者,推荐我的新书！,「都市·都市生活」,2016,5,9
20,探骊楼主,147.14,响马英雄传,第十八章完结团圆,「武侠·传统武侠」,2017,11,30
21,八九燕来,147.12,荒岛病毒,第一百零五章镜中话,「灵异·寻墓探险」,2018,2,12
22,布老虎吃人,147.09,重活,第三百一十章沧海桑田（大结局）,「都市·都市生活」,2009,2,13
